Open;High;Low;Close
428.68;441.21;425.5;437.34
428;430.2;423.5;427.69
430.94;431.9;425.72;427.9
429.88;432.85;426.25;430.17
433;435.48;426.7;430.25
436.68;445.75;434.1;442.6
429.66;438.68;428.49;438.17
423.71;426.73;420.87;424.69
416.17;424.52;415.18;424.3
409.58;417.37;408.7;414.4
406.12;414.45;405.8;410.39
400;406;398.06;402.49
408.24;409.19;395.98;396.63
406.5;410.64;401.66;409.61
415.41;415.41;406.81;408.49
424.2;426.4;418.15;418.99
424;427.21;418.22;421.59
426;427.8;422.24;424.14
413.68;428.23;413.11;425.32
407;415.9;406.51;415.77
408.74;412.23;406.56;409.29
406.65;408.99;402.55;405.68
416.95;417.49;401.89;407.35
418.21;420.46;414.58;420.09
415.68;418.69;413;414.06
416.19;419.72;411.56;415.16
419.31;421.09;415.42;416
421.5;421.5;414;416.77
426.86;427.7;421.21;424.84
431.77;433.73;428.37;429
436.23;437.89;426.67;432.6
438.58;440.5;431.76;435.62
439.5;440.92;434.12;438.77
445.07;447.34;439.46;444.32
435.3;441.24;434.5;440.28
426;432.46;424;431.65
426.25;429.96;423.4;428.4
418.73;429.6;418.53;426.56
412.11;417.23;410.7;417.23
408.68;411.62;404.61;410.4
405.64;411.86;404.81;405.56
391.95;405;390;404.36
396.66;398.65;392;393.5
396.3;402.84;393.84;396.5
402.09;405.67;395;397.18
396.1;401.64;393;398.88
394.73;397.31;385.4;396.84
391.1;394.11;389.09;390
388.8;392.21;384.69;387.5
394.09;396.39;388.35;389.54
410.01;410.99;395.11;399.01
402.8;412;401.2;407.98
402.85;410.13;395;407.33
404.1;404.99;392.5;396.61
406.79;408.28;401;403.47
399.98;405;397.25;402.99
398.17;402.4;394.79;401.98
395.03;397.59;391.55;393.69
395.76;403.75;394.8;395.97
385.97;394.97;385.83;391.47
383.75;389.05;381.54;383.71
384.34;389.49;382.75;385.95
386.05;393.18;380.5;389.49
387.51;389.75;381.11;384.69
381.75;390;379.01;383.86
376.17;384.3;376.1;381.47
386.15;390.65;375.89;379.3
386.02;399.82;384.81;392.24
381.5;392.9;381.02;388.74
367.1;381.06;364.16;379.5
376.94;376.99;365.6;368.91
371.33;379.1;370.3;378.11
369.5;374.35;366.25;372.5
363.5;365;356.21;362
362.6;363.75;355.31;358.65
367;369.82;361.4;368.24
364.5;371.72;358;369.78
363.31;369.76;360.32;362.5
343.78;355.24;340.61;354.09
348.93;353.51;346.18;348.06
342.55;343.81;336.05;342.69
350;352;345.47;347.7
353.13;359.16;348.5;353.29
350.4;351.34;336.25;344.07
346.5;353.84;344;347.17
333.56;349.45;333.03;348.6
330.3;332.99;326.34;330.16
331.68;336;327.38;329.94
334.81;340;328.05;333.1
320.18;335.34;319.09;335.34
325.99;329.73;318.59;319.69
326.1;327.46;319.03;324.42
317.54;325;313.65;323.53
310.1;320;305.71;317.91
298.25;310.5;294.25;308.17
299.98;306.57;289.45;290.89
307.22;310.19;294.25;308.57
316.48;319.08;302.64;305.64
323.16;329;315.38;318.92
330.07;333.69;322.35;325.48
333.33;340.7;326;327.16
332.95;343.82;331.11;337.99
345.96;352.49;337.16;337.18
342.15;352.3;338.92;341.64
331.02;349.62;330.89;345.45
347;349.8;329.55;330.06
338.05;348.92;335;346.45
357.47;359.8;341.41;342.64
347.24;353.38;340.52;353.11
346.51;347.09;339.69;342.66
362.19;362.99;355.23;357.68
353.16;363.62;351.48;363.05
